soc_Rob0,soc_Rob1,soc_Rob2,soc_Rob3
111,111,111,111
110.3631072,110.3631072,110.3631072,110.3631072
109.7262144,109.7262144,109.7262144,109.7262144
109.0893216,109.0893216,109.0893216,109.0893216
108.4524288,108.4524288,108.4524288,108.4524288
107.815536,107.815536,107.815536,107.815536
107.1786432,107.1786432,107.1786432,107.1786432
106.5417504,106.5417504,106.5417504,106.5417504
105.9048576,105.9048576,105.9048576,105.9048576
105.2679648,105.2679648,105.2679648,105.2679648
104.631072,104.631072,104.631072,104.631072
103.9941792,103.9941792,103.9941792,103.9941792
103.3572864,103.3572864,103.3572864,103.3572864
102.7203936,102.7203936,102.7203936,102.7203936
102.0835008,102.0835008,102.0835008,102.0835008
101.446608,101.446608,101.446608,101.446608
100.8097152,100.8097152,100.8097152,100.8097152
100.1728224,100.1728224,100.1728224,100.1728224
99.5359296,99.5359296,99.5359296,99.5359296
98.8990368,98.8990368,98.8990368,98.8990368
98.262144,98.262144,98.262144,98.262144
97.6252512,97.6252512,97.6252512,97.6252512
97.4833512,97.4833512,97.4833512,97.4833512
96.79538679,96.79538679,96.79538679,96.79538679
96.10742238,96.10742238,96.10742238,96.10742238
95.41945797,95.41945797,95.41945797,95.41945797
94.73149355,94.73149355,94.73149355,94.73149355
94.04352914,94.04352914,94.04352914,94.04352914
93.35556473,93.35556473,93.35556473,93.35556473
92.66760032,92.66760032,92.66760032,92.66760032
91.97963591,91.97963591,91.97963591,91.97963591
91.2916715,91.2916715,91.2916715,91.2916715
90.60370709,90.60370709,90.60370709,90.60370709
89.91574268,89.91574268,89.91574268,89.91574268
89.22777826,89.22777826,89.22777826,89.22777826
88.53981385,88.53981385,88.53981385,88.53981385
87.85184944,87.85184944,87.85184944,87.85184944
87.16388503,87.16388503,87.16388503,87.16388503
86.47592062,86.47592062,86.47592062,86.47592062
85.78795621,85.78795621,85.78795621,85.78795621
85.0999918,85.0999918,85.0999918,85.0999918
84.41202739,84.41202739,84.41202739,84.41202739
83.72406297,83.72406297,83.72406297,83.72406297
83.03609856,83.03609856,83.03609856,83.03609856
82.34813415,82.34813415,82.34813415,82.34813415
81.66016974,81.66016974,81.66016974,81.66016974
80.97220533,80.97220533,80.97220533,80.97220533
80.28424092,80.28424092,80.28424092,80.28424092
79.59627651,79.59627651,79.59627651,79.59627651
78.9083121,78.9083121,78.9083121,78.9083121
78.22034768,78.22034768,78.22034768,78.22034768
77.53238327,77.53238327,77.53238327,77.53238327
76.84441886,76.84441886,76.84441886,76.84441886
76.20752606,76.20752606,76.20752606,76.20752606
75.57063326,75.57063326,75.57063326,75.57063326
74.93374046,74.93374046,74.93374046,74.93374046
74.29684766,74.29684766,74.29684766,74.29684766
73.65995486,73.65995486,73.65995486,73.65995486
73.02306206,73.02306206,73.02306206,73.02306206
72.38616926,72.38616926,72.38616926,72.38616926
71.74927646,71.74927646,71.74927646,71.74927646
71.11238366,71.11238366,71.11238366,71.11238366
70.47549086,70.47549086,70.47549086,70.47549086
69.83791389,69.83791389,69.83791389,69.83791389
69.20033692,69.20033692,69.20033692,69.20033692
68.56275995,68.56275995,68.56275995,68.56275995
